loss: 5.5139 | epoch: 51/50000 | score: 42 | time left: 3 days, 11:08:27 | avg_q: -32.8160 | epsilon: 0.98 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:05:11 | 
loss: 2.4993 | epoch: 52/50000 | score: 42 | time left: 3 days, 10:51:10 | avg_q: -33.5533 | epsilon: 0.98 | reward: -109 | avg time per epoch: 0:00:05 | time elapsed: 0:05:16 | 
loss: 1.5360 | epoch: 53/50000 | score: 59 | time left: 3 days, 11:02:39 | avg_q: -29.9310 | epsilon: 0.98 | reward: -115 | avg time per epoch: 0:00:05 | time elapsed: 0:05:23 | 
loss: 1.5821 | epoch: 54/50000 | score: 42 | time left: 3 days, 10:44:50 | avg_q: -32.7176 | epsilon: 0.98 | reward: -109 | avg time per epoch: 0:00:05 | time elapsed: 0:05:28 | 
loss: 1.8018 | epoch: 55/50000 | score: 42 | time left: 3 days, 10:28:23 | avg_q: -26.7902 | epsilon: 0.98 | reward: -105 | avg time per epoch: 0:00:05 | time elapsed: 0:05:32 | 
loss: 3.6374 | epoch: 56/50000 | score: 42 | time left: 3 days, 10:12:23 | avg_q: -36.8897 | epsilon: 0.98 | reward: -107 | avg time per epoch: 0:00:05 | time elapsed: 0:05:37 | 
loss: 0.6423 | epoch: 57/50000 | score: 42 | time left: 3 days, 9:56:52 | avg_q: -40.5561 | epsilon: 0.98 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:05:42 | 
loss: 3.1927 | epoch: 58/50000 | score: 42 | time left: 3 days, 9:42:07 | avg_q: -41.0713 | epsilon: 0.98 | reward: -111 | avg time per epoch: 0:00:05 | time elapsed: 0:05:47 | 
loss: 1.7510 | epoch: 59/50000 | score: 51 | time left: 3 days, 9:41:04 | avg_q: -53.2467 | epsilon: 0.98 | reward: -107 | avg time per epoch: 0:00:05 | time elapsed: 0:05:53 | 
loss: 3.1042 | epoch: 60/50000 | score: 50 | time left: 3 days, 9:38:34 | avg_q: -48.9217 | epsilon: 0.97 | reward: -116 | avg time per epoch: 0:00:05 | time elapsed: 0:05:59 | 
loss: 2.0792 | epoch: 61/50000 | score: 76 | time left: 3 days, 10:12:02 | avg_q: -38.1440 | epsilon: 0.97 | reward: -122 | avg time per epoch: 0:00:05 | time elapsed: 0:06:07 | 
loss: 2.6494 | epoch: 62/50000 | score: 53 | time left: 3 days, 10:12:42 | avg_q: -40.1662 | epsilon: 0.97 | reward: -113 | avg time per epoch: 0:00:05 | time elapsed: 0:06:13 | 
loss: 1.5063 | epoch: 63/50000 | score: 52 | time left: 3 days, 10:12:00 | avg_q: -32.6150 | epsilon: 0.97 | reward: -115 | avg time per epoch: 0:00:05 | time elapsed: 0:06:19 | 
loss: 1.6590 | epoch: 64/50000 | score: 42 | time left: 3 days, 9:59:55 | avg_q: -32.3035 | epsilon: 0.97 | reward: -112 | avg time per epoch: 0:00:05 | time elapsed: 0:06:24 | 
loss: 2.5893 | epoch: 65/50000 | score: 58 | time left: 3 days, 10:09:25 | avg_q: -43.6307 | epsilon: 0.97 | reward: -120 | avg time per epoch: 0:00:05 | time elapsed: 0:06:30 | 
loss: 2.7953 | epoch: 66/50000 | score: 42 | time left: 3 days, 9:55:53 | avg_q: -50.1428 | epsilon: 0.97 | reward: -109 | avg time per epoch: 0:00:05 | time elapsed: 0:06:35 | 
loss: 1.5681 | epoch: 67/50000 | score: 74 | time left: 3 days, 10:23:45 | avg_q: -41.2163 | epsilon: 0.97 | reward: -123 | avg time per epoch: 0:00:05 | time elapsed: 0:06:43 | 
loss: 1.6843 | epoch: 68/50000 | score: 42 | time left: 3 days, 10:10:52 | avg_q: -41.5094 | epsilon: 0.97 | reward: -110 | avg time per epoch: 0:00:05 | time elapsed: 0:06:48 | 
loss: 1.5128 | epoch: 69/50000 | score: 50 | time left: 3 days, 10:08:48 | avg_q: -46.9303 | epsilon: 0.97 | reward: -116 | avg time per epoch: 0:00:05 | time elapsed: 0:06:54 | 
loss: 2.5887 | epoch: 70/50000 | score: 68 | time left: 3 days, 10:28:37 | avg_q: -36.8927 | epsilon: 0.97 | reward: -123 | avg time per epoch: 0:00:05 | time elapsed: 0:07:02 | 
loss: 2.2727 | epoch: 71/50000 | score: 42 | time left: 3 days, 10:17:00 | avg_q: -29.0322 | epsilon: 0.97 | reward: -111 | avg time per epoch: 0:00:05 | time elapsed: 0:07:07 | 
loss: 0.7969 | epoch: 72/50000 | score: 51 | time left: 3 days, 10:16:06 | avg_q: -31.2129 | epsilon: 0.97 | reward: -112 | avg time per epoch: 0:00:05 | time elapsed: 0:07:13 | 
loss: 1.4818 | epoch: 73/50000 | score: 70 | time left: 3 days, 10:38:06 | avg_q: -44.6582 | epsilon: 0.97 | reward: -116 | avg time per epoch: 0:00:05 | time elapsed: 0:07:20 | 
loss: 1.9642 | epoch: 74/50000 | score: 42 | time left: 3 days, 10:25:53 | avg_q: -44.4331 | epsilon: 0.97 | reward: -113 | avg time per epoch: 0:00:05 | time elapsed: 0:07:25 | 
loss: 1.7754 | epoch: 75/50000 | score: 42 | time left: 3 days, 10:14:02 | avg_q: -40.4269 | epsilon: 0.97 | reward: -111 | avg time per epoch: 0:00:05 | time elapsed: 0:07:30 | 
loss: 0.8227 | epoch: 76/50000 | score: 42 | time left: 3 days, 10:02:35 | avg_q: -38.7930 | epsilon: 0.96 | reward: -114 | avg time per epoch: 0:00:05 | time elapsed: 0:07:35 | 
loss: 1.2485 | epoch: 77/50000 | score: 51 | time left: 3 days, 10:02:35 | avg_q: -39.4915 | epsilon: 0.96 | reward: -109 | avg time per epoch: 0:00:05 | time elapsed: 0:07:41 | 
loss: 0.5508 | epoch: 78/50000 | score: 42 | time left: 3 days, 9:51:42 | avg_q: -33.1355 | epsilon: 0.96 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:07:46 | 
loss: 3.0618 | epoch: 79/50000 | score: 42 | time left: 3 days, 9:40:56 | avg_q: -30.8798 | epsilon: 0.96 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:07:51 | 
