loss: 11.5719 | epoch: 57/20000 | score: 52 | time left: 1 day, 7:50:47 | avg_q: 73.4784 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:05:33 | 
loss: 8.5701 | epoch: 58/20000 | score: 50 | time left: 1 day, 7:51:09 | avg_q: 71.8288 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:05:39 | 
loss: 3.2353 | epoch: 59/20000 | score: 50 | time left: 1 day, 7:50:38 | avg_q: 70.1902 | epsilon: 1.0 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:05:44 | 
loss: 4.9334 | epoch: 60/20000 | score: 42 | time left: 1 day, 7:46:03 | avg_q: 62.7635 | epsilon: 1.0 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:05:49 | 
loss: 10.3097 | epoch: 61/20000 | score: 47 | time left: 1 day, 7:46:06 | avg_q: 72.1152 | epsilon: 1.0 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:05:55 | 
loss: 9.0712 | epoch: 62/20000 | score: 47 | time left: 1 day, 7:45:04 | avg_q: 77.3834 | epsilon: 1.0 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:06:01 | 
loss: 2.5345 | epoch: 63/20000 | score: 41 | time left: 1 day, 7:40:15 | avg_q: 77.9609 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:06:06 | 
loss: 6.1464 | epoch: 64/20000 | score: 50 | time left: 1 day, 7:40:47 | avg_q: 83.5270 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:06:11 | 
loss: 9.2285 | epoch: 65/20000 | score: 49 | time left: 1 day, 7:40:23 | avg_q: 71.7325 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:06:17 | 
loss: 3.0293 | epoch: 66/20000 | score: 51 | time left: 1 day, 7:41:08 | avg_q: 56.2651 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:06:23 | 
loss: 9.8007 | epoch: 67/20000 | score: 74 | time left: 1 day, 7:53:16 | avg_q: 56.2710 | epsilon: 1.0 | reward: -85 | avg time per epoch: 0:00:05 | time elapsed: 0:06:31 | 
loss: 1.7125 | epoch: 68/20000 | score: 42 | time left: 1 day, 7:49:08 | avg_q: 55.1959 | epsilon: 1.0 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:06:36 | 
loss: 5.6040 | epoch: 69/20000 | score: 53 | time left: 1 day, 7:50:16 | avg_q: 64.0062 | epsilon: 1.0 | reward: -81 | avg time per epoch: 0:00:05 | time elapsed: 0:06:42 | 
loss: 1.7966 | epoch: 70/20000 | score: 75 | time left: 1 day, 8:02:28 | avg_q: 84.4946 | epsilon: 1.0 | reward: -83 | avg time per epoch: 0:00:05 | time elapsed: 0:06:50 | 
loss: 2.0539 | epoch: 71/20000 | score: 41 | time left: 1 day, 7:57:56 | avg_q: 86.2028 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:06:55 | 
loss: 6.1002 | epoch: 72/20000 | score: 41 | time left: 1 day, 7:53:22 | avg_q: 110.6861 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:07:00 | 
loss: 11.1783 | epoch: 73/20000 | score: 41 | time left: 1 day, 7:49:00 | avg_q: 94.5256 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:07:05 | 
loss: 10.3528 | epoch: 74/20000 | score: 73 | time left: 1 day, 8:00:01 | avg_q: 100.9948 | epsilon: 1.0 | reward: -81 | avg time per epoch: 0:00:05 | time elapsed: 0:07:13 | 
loss: 6.0872 | epoch: 75/20000 | score: 41 | time left: 1 day, 7:56:10 | avg_q: 75.7943 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:07:18 | 
loss: 1.4376 | epoch: 76/20000 | score: 42 | time left: 1 day, 7:52:27 | avg_q: 78.9976 | epsilon: 1.0 | reward: -93 | avg time per epoch: 0:00:05 | time elapsed: 0:07:23 | 
loss: 5.4945 | epoch: 77/20000 | score: 42 | time left: 1 day, 7:48:45 | avg_q: 88.8605 | epsilon: 1.0 | reward: -84 | avg time per epoch: 0:00:05 | time elapsed: 0:07:28 | 
loss: 5.3742 | epoch: 78/20000 | score: 41 | time left: 1 day, 7:45:13 | avg_q: 89.0636 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:07:33 | 
loss: 2.2520 | epoch: 79/20000 | score: 47 | time left: 1 day, 7:44:18 | avg_q: 103.3254 | epsilon: 1.0 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:07:38 | 
loss: 2.1193 | epoch: 80/20000 | score: 48 | time left: 1 day, 7:43:19 | avg_q: 88.1361 | epsilon: 1.0 | reward: -83 | avg time per epoch: 0:00:05 | time elapsed: 0:07:44 | 
loss: 8.8645 | epoch: 81/20000 | score: 57 | time left: 1 day, 7:46:56 | avg_q: 102.4744 | epsilon: 1.0 | reward: -82 | avg time per epoch: 0:00:05 | time elapsed: 0:07:51 | 
loss: 3.1097 | epoch: 82/20000 | score: 42 | time left: 1 day, 7:43:38 | avg_q: 119.1799 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:07:55 | 
loss: 6.8718 | epoch: 83/20000 | score: 41 | time left: 1 day, 7:40:20 | avg_q: 141.1513 | epsilon: 1.0 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:08:00 | 
loss: 12.8821 | epoch: 84/20000 | score: 41 | time left: 1 day, 7:37:05 | avg_q: 168.1653 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:08:05 | 
loss: 5.3612 | epoch: 85/20000 | score: 67 | time left: 1 day, 7:44:37 | avg_q: 181.6295 | epsilon: 1.0 | reward: -84 | avg time per epoch: 0:00:05 | time elapsed: 0:08:13 | 
loss: 6.0180 | epoch: 86/20000 | score: 54 | time left: 1 day, 7:46:46 | avg_q: 182.3836 | epsilon: 1.0 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:08:19 | 
loss: 6.2209 | epoch: 87/20000 | score: 41 | time left: 1 day, 7:43:45 | avg_q: 191.5505 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:08:24 | 
loss: 10.3970 | epoch: 88/20000 | score: 80 | time left: 1 day, 7:55:44 | avg_q: 194.5869 | epsilon: 1.0 | reward: -74 | avg time per epoch: 0:00:05 | time elapsed: 0:08:33 | 
loss: 11.1195 | epoch: 89/20000 | score: 98 | time left: 1 day, 8:14:03 | avg_q: 164.6895 | epsilon: 1.0 | reward: -66 | avg time per epoch: 0:00:05 | time elapsed: 0:08:44 | 
loss: 4.7946 | epoch: 90/20000 | score: 62 | time left: 1 day, 8:18:22 | avg_q: 120.7471 | epsilon: 1.0 | reward: -82 | avg time per epoch: 0:00:05 | time elapsed: 0:08:51 | 
