epsilon: 0.1 | time_left: 1 day, 18:50:52 | time_elap: 0:06:47 | ep: 79/30000 | loss: 19.2467 | score_dev: 6.94 | avg_ep_time: 0:00:05 | avg_q: 1.8750 | score_avg: 44.0 | score: 41 | time: 13:08:25 | reward: -80 | 
epsilon: 0.1 | time_left: 1 day, 18:48:32 | time_elap: 0:06:52 | ep: 80/30000 | loss: 0.7414 | score_dev: 6.9 | avg_ep_time: 0:00:05 | avg_q: 2.7576 | score_avg: 44.0 | score: 41 | time: 13:08:30 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 18:47:04 | time_elap: 0:06:56 | ep: 81/30000 | loss: 4.0751 | score_dev: 6.87 | avg_ep_time: 0:00:05 | avg_q: 3.5709 | score_avg: 44.0 | score: 41 | time: 13:08:35 | reward: -79 | 
epsilon: 0.1 | time_left: 1 day, 18:46:05 | time_elap: 0:07:01 | ep: 82/30000 | loss: 0.2137 | score_dev: 6.83 | avg_ep_time: 0:00:05 | avg_q: 3.2679 | score_avg: 44.0 | score: 41 | time: 13:08:40 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 18:44:27 | time_elap: 0:07:06 | ep: 83/30000 | loss: 9.7195 | score_dev: 6.8 | avg_ep_time: 0:00:05 | avg_q: 3.2414 | score_avg: 44.0 | score: 41 | time: 13:08:44 | reward: -77 | 
epsilon: 0.1 | time_left: 1 day, 18:42:13 | time_elap: 0:07:11 | ep: 84/30000 | loss: 3.5309 | score_dev: 6.76 | avg_ep_time: 0:00:05 | avg_q: 3.8119 | score_avg: 44.0 | score: 41 | time: 13:08:49 | reward: -80 | 
epsilon: 0.1 | time_left: 1 day, 18:53:46 | time_elap: 0:07:18 | ep: 85/30000 | loss: 6.6369 | score_dev: 7.01 | avg_ep_time: 0:00:05 | avg_q: 2.9920 | score_avg: 44.0 | score: 62 | time: 13:08:56 | reward: -65 | 
epsilon: 0.1 | time_left: 1 day, 18:56:42 | time_elap: 0:07:24 | ep: 86/30000 | loss: 12.7869 | score_dev: 6.99 | avg_ep_time: 0:00:05 | avg_q: 4.2742 | score_avg: 44.0 | score: 49 | time: 13:09:02 | reward: -71 | 
epsilon: 0.1 | time_left: 1 day, 18:54:28 | time_elap: 0:07:29 | ep: 87/30000 | loss: 13.0179 | score_dev: 6.96 | avg_ep_time: 0:00:05 | avg_q: 2.4595 | score_avg: 44.0 | score: 41 | time: 13:09:07 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 18:56:41 | time_elap: 0:07:34 | ep: 88/30000 | loss: 4.0833 | score_dev: 6.93 | avg_ep_time: 0:00:05 | avg_q: 3.5435 | score_avg: 44.0 | score: 48 | time: 13:09:12 | reward: -72 | 
epsilon: 0.1 | time_left: 1 day, 18:54:34 | time_elap: 0:07:39 | ep: 89/30000 | loss: 6.7571 | score_dev: 6.9 | avg_ep_time: 0:00:05 | avg_q: 3.3853 | score_avg: 44.0 | score: 41 | time: 13:09:17 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 19:07:20 | time_elap: 0:07:47 | ep: 90/30000 | loss: 6.5550 | score_dev: 7.25 | avg_ep_time: 0:00:05 | avg_q: 3.6632 | score_avg: 44.0 | score: 66 | time: 13:09:25 | reward: -67 | 
epsilon: 0.1 | time_left: 1 day, 19:05:02 | time_elap: 0:07:51 | ep: 91/30000 | loss: 3.3589 | score_dev: 7.22 | avg_ep_time: 0:00:05 | avg_q: 3.2699 | score_avg: 44.0 | score: 41 | time: 13:09:30 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 19:08:21 | time_elap: 0:07:57 | ep: 92/30000 | loss: 3.5035 | score_dev: 7.21 | avg_ep_time: 0:00:05 | avg_q: 3.7302 | score_avg: 44.0 | score: 51 | time: 13:09:35 | reward: -70 | 
epsilon: 0.1 | time_left: 1 day, 19:06:58 | time_elap: 0:08:02 | ep: 93/30000 | loss: 0.4029 | score_dev: 7.18 | avg_ep_time: 0:00:05 | avg_q: 3.2650 | score_avg: 44.0 | score: 42 | time: 13:09:40 | reward: -81 | 
epsilon: 0.1 | time_left: 1 day, 19:14:18 | time_elap: 0:08:09 | ep: 94/30000 | loss: 0.3605 | score_dev: 7.28 | avg_ep_time: 0:00:05 | avg_q: 4.1426 | score_avg: 44.0 | score: 58 | time: 13:09:47 | reward: -66 | 
epsilon: 0.1 | time_left: 1 day, 19:12:00 | time_elap: 0:08:14 | ep: 95/30000 | loss: 3.7988 | score_dev: 7.25 | avg_ep_time: 0:00:05 | avg_q: 2.9398 | score_avg: 44.0 | score: 41 | time: 13:09:52 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 19:31:29 | time_elap: 0:08:22 | ep: 96/30000 | loss: 0.7208 | score_dev: 8.13 | avg_ep_time: 0:00:05 | avg_q: 4.3801 | score_avg: 45.0 | score: 81 | time: 13:10:01 | reward: -60 | 
epsilon: 0.1 | time_left: 1 day, 19:29:14 | time_elap: 0:08:27 | ep: 97/30000 | loss: 6.9958 | score_dev: 8.1 | avg_ep_time: 0:00:05 | avg_q: 2.8239 | score_avg: 45.0 | score: 41 | time: 13:10:05 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 19:32:36 | time_elap: 0:08:33 | ep: 98/30000 | loss: 4.0255 | score_dev: 8.08 | avg_ep_time: 0:00:05 | avg_q: 3.6806 | score_avg: 45.0 | score: 51 | time: 13:10:11 | reward: -71 | 
epsilon: 0.1 | time_left: 1 day, 19:34:46 | time_elap: 0:08:39 | ep: 99/30000 | loss: 6.3778 | score_dev: 8.06 | avg_ep_time: 0:00:05 | avg_q: 3.5343 | score_avg: 45.0 | score: 50 | time: 13:10:17 | reward: -69 | 
