loss: 16.5460 | epoch: 93/30000 | score: 56 | time left: 1 day, 22:34:04 | avg_q: 6.9043 | epsilon: 0.97 | reward: -170 | avg time per epoch: 0:00:05 | time elapsed: 0:08:41 | 
loss: 16.4367 | epoch: 94/30000 | score: 74 | time left: 1 day, 22:48:24 | avg_q: 6.2799 | epsilon: 0.97 | reward: -239 | avg time per epoch: 0:00:05 | time elapsed: 0:08:49 | 
loss: 10.0823 | epoch: 95/30000 | score: 41 | time left: 1 day, 22:43:55 | avg_q: 7.2672 | epsilon: 0.97 | reward: -134 | avg time per epoch: 0:00:05 | time elapsed: 0:08:54 | 
loss: 16.7694 | epoch: 96/30000 | score: 51 | time left: 1 day, 22:45:21 | avg_q: 6.1069 | epsilon: 0.97 | reward: -165 | avg time per epoch: 0:00:05 | time elapsed: 0:09:00 | 
loss: 13.2727 | epoch: 97/30000 | score: 56 | time left: 1 day, 22:49:23 | avg_q: 6.7398 | epsilon: 0.97 | reward: -168 | avg time per epoch: 0:00:05 | time elapsed: 0:09:06 | 
loss: 13.5777 | epoch: 98/30000 | score: 52 | time left: 1 day, 22:51:10 | avg_q: 6.1645 | epsilon: 0.97 | reward: -158 | avg time per epoch: 0:00:05 | time elapsed: 0:09:12 | 
loss: 16.3742 | epoch: 99/30000 | score: 42 | time left: 1 day, 22:47:26 | avg_q: 7.1359 | epsilon: 0.97 | reward: -121 | avg time per epoch: 0:00:05 | time elapsed: 0:09:17 | 
loss: 29.9352 | epoch: 100/30000 | score: 42 | time left: 1 day, 22:43:44 | avg_q: 6.0392 | epsilon: 0.97 | reward: -125 | avg time per epoch: 0:00:05 | time elapsed: 0:09:22 | 
loss: 10.6860 | epoch: 101/30000 | score: 41 | time left: 1 day, 22:40:12 | avg_q: 7.7338 | epsilon: 0.97 | reward: -134 | avg time per epoch: 0:00:05 | time elapsed: 0:09:27 | 
loss: 4.1872 | epoch: 102/30000 | score: 49 | time left: 1 day, 22:41:37 | avg_q: 6.5998 | epsilon: 0.97 | reward: -131 | avg time per epoch: 0:00:05 | time elapsed: 0:09:33 | 
loss: 10.1937 | epoch: 103/30000 | score: 59 | time left: 1 day, 22:47:20 | avg_q: 6.6257 | epsilon: 0.97 | reward: -166 | avg time per epoch: 0:00:05 | time elapsed: 0:09:40 | 
loss: 7.1537 | epoch: 104/30000 | score: 53 | time left: 1 day, 22:49:21 | avg_q: 7.1381 | epsilon: 0.97 | reward: -155 | avg time per epoch: 0:00:05 | time elapsed: 0:09:46 | 
loss: 13.6488 | epoch: 105/30000 | score: 42 | time left: 1 day, 22:45:48 | avg_q: 6.1338 | epsilon: 0.97 | reward: -131 | avg time per epoch: 0:00:05 | time elapsed: 0:09:51 | 
loss: 10.4513 | epoch: 106/30000 | score: 57 | time left: 1 day, 22:49:55 | avg_q: 6.4861 | epsilon: 0.97 | reward: -161 | avg time per epoch: 0:00:05 | time elapsed: 0:09:57 | 
loss: 7.1005 | epoch: 107/30000 | score: 42 | time left: 1 day, 22:46:34 | avg_q: 6.7073 | epsilon: 0.97 | reward: -133 | avg time per epoch: 0:00:05 | time elapsed: 0:10:02 | 
loss: 13.2912 | epoch: 108/30000 | score: 41 | time left: 1 day, 22:42:43 | avg_q: 6.7107 | epsilon: 0.97 | reward: -136 | avg time per epoch: 0:00:05 | time elapsed: 0:10:07 | 
loss: 10.3736 | epoch: 109/30000 | score: 41 | time left: 1 day, 22:38:55 | avg_q: 6.5495 | epsilon: 0.97 | reward: -134 | avg time per epoch: 0:00:05 | time elapsed: 0:10:12 | 
loss: 3.8100 | epoch: 110/30000 | score: 42 | time left: 1 day, 22:36:07 | avg_q: 6.9192 | epsilon: 0.97 | reward: -122 | avg time per epoch: 0:00:05 | time elapsed: 0:10:17 | 
loss: 16.9126 | epoch: 111/30000 | score: 42 | time left: 1 day, 22:33:00 | avg_q: 7.5510 | epsilon: 0.97 | reward: -145 | avg time per epoch: 0:00:05 | time elapsed: 0:10:22 | 
loss: 13.6197 | epoch: 112/30000 | score: 52 | time left: 1 day, 22:35:55 | avg_q: 8.3064 | epsilon: 0.97 | reward: -160 | avg time per epoch: 0:00:05 | time elapsed: 0:10:28 | 
loss: 13.5633 | epoch: 113/30000 | score: 57 | time left: 1 day, 22:39:51 | avg_q: 7.1914 | epsilon: 0.97 | reward: -173 | avg time per epoch: 0:00:05 | time elapsed: 0:10:35 | 
