loss: No train | epoch: 1/20000 | score: 51 | time left: 23:49:02 | avg_q: 0.0182 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:04 | time elapsed: 0:00:04 | 
loss: 13.8214 | epoch: 100/20000 | score: 53 | time left: 1 day, 8:28:36 | avg_q: 7.3615 | epsilon: 0.95 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:09:47 | 
loss: 30.4875 | epoch: 101/20000 | score: 42 | time left: 1 day, 8:25:33 | avg_q: 8.4087 | epsilon: 0.95 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:09:52 | 
loss: 7.2811 | epoch: 102/20000 | score: 42 | time left: 1 day, 8:23:17 | avg_q: 8.4359 | epsilon: 0.95 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:09:57 | 
loss: 20.7409 | epoch: 103/20000 | score: 43 | time left: 1 day, 8:20:16 | avg_q: 7.5044 | epsilon: 0.95 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:10:02 | 
loss: 4.1592 | epoch: 104/20000 | score: 73 | time left: 1 day, 8:27:53 | avg_q: 8.8746 | epsilon: 0.95 | reward: -81 | avg time per epoch: 0:00:05 | time elapsed: 0:10:10 | 
loss: 10.5519 | epoch: 105/20000 | score: 42 | time left: 1 day, 8:24:53 | avg_q: 7.9413 | epsilon: 0.95 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:10:15 | 
loss: 7.2666 | epoch: 106/20000 | score: 42 | time left: 1 day, 8:21:57 | avg_q: 8.5301 | epsilon: 0.95 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:10:20 | 
loss: 10.6005 | epoch: 107/20000 | score: 54 | time left: 1 day, 8:23:17 | avg_q: 7.7801 | epsilon: 0.95 | reward: -84 | avg time per epoch: 0:00:05 | time elapsed: 0:10:27 | 
loss: 10.6705 | epoch: 108/20000 | score: 42 | time left: 1 day, 8:20:24 | avg_q: 8.1949 | epsilon: 0.94 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:10:32 | 
loss: 13.9343 | epoch: 109/20000 | score: 43 | time left: 1 day, 8:17:35 | avg_q: 8.2055 | epsilon: 0.94 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:10:37 | 
loss: 3.8890 | epoch: 110/20000 | score: 42 | time left: 1 day, 8:14:48 | avg_q: 8.9524 | epsilon: 0.94 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:10:41 | 
loss: 17.7666 | epoch: 111/20000 | score: 42 | time left: 1 day, 8:12:08 | avg_q: 10.3965 | epsilon: 0.94 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:10:46 | 
loss: 17.5865 | epoch: 112/20000 | score: 42 | time left: 1 day, 8:09:24 | avg_q: 8.9521 | epsilon: 0.94 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:10:51 | 
loss: 14.2491 | epoch: 113/20000 | score: 50 | time left: 1 day, 8:09:00 | avg_q: 10.0218 | epsilon: 0.94 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:10:57 | 
loss: 20.7056 | epoch: 114/20000 | score: 42 | time left: 1 day, 8:06:22 | avg_q: 9.6239 | epsilon: 0.94 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:11:02 | 
loss: 14.0151 | epoch: 115/20000 | score: 61 | time left: 1 day, 8:09:54 | avg_q: 9.8280 | epsilon: 0.94 | reward: -82 | avg time per epoch: 0:00:05 | time elapsed: 0:11:09 | 
loss: 14.1119 | epoch: 116/20000 | score: 51 | time left: 1 day, 8:09:53 | avg_q: 9.4115 | epsilon: 0.94 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:11:15 | 
loss: 7.4728 | epoch: 117/20000 | score: 53 | time left: 1 day, 8:10:47 | avg_q: 10.4915 | epsilon: 0.94 | reward: -82 | avg time per epoch: 0:00:05 | time elapsed: 0:11:21 | 
loss: 17.4509 | epoch: 118/20000 | score: 42 | time left: 1 day, 8:08:16 | avg_q: 9.1342 | epsilon: 0.94 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:11:26 | 
loss: 7.7573 | epoch: 119/20000 | score: 42 | time left: 1 day, 8:05:45 | avg_q: 10.6219 | epsilon: 0.94 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:11:31 | 
loss: 4.1279 | epoch: 120/20000 | score: 62 | time left: 1 day, 8:09:05 | avg_q: 9.5819 | epsilon: 0.94 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:11:38 | 
loss: 14.4983 | epoch: 121/20000 | score: 43 | time left: 1 day, 8:06:42 | avg_q: 11.1623 | epsilon: 0.94 | reward: -93 | avg time per epoch: 0:00:05 | time elapsed: 0:11:43 | 
loss: 21.1795 | epoch: 122/20000 | score: 42 | time left: 1 day, 8:04:58 | avg_q: 10.0172 | epsilon: 0.94 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:11:48 | 
loss: 17.5641 | epoch: 123/20000 | score: 43 | time left: 1 day, 8:02:33 | avg_q: 10.7658 | epsilon: 0.94 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:11:53 | 
loss: 21.0832 | epoch: 124/20000 | score: 66 | time left: 1 day, 8:06:58 | avg_q: 9.3084 | epsilon: 0.93 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:12:01 | 
loss: 14.4613 | epoch: 125/20000 | score: 42 | time left: 1 day, 8:04:36 | avg_q: 10.1754 | epsilon: 0.93 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:12:06 | 
loss: 7.3793 | epoch: 126/20000 | score: 50 | time left: 1 day, 8:04:36 | avg_q: 10.8788 | epsilon: 0.93 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:12:12 | 
loss: 3.9873 | epoch: 127/20000 | score: 57 | time left: 1 day, 8:06:37 | avg_q: 9.5276 | epsilon: 0.93 | reward: -83 | avg time per epoch: 0:00:05 | time elapsed: 0:12:18 | 
loss: 4.3308 | epoch: 128/20000 | score: 42 | time left: 1 day, 8:04:18 | avg_q: 11.0716 | epsilon: 0.93 | reward: -85 | avg time per epoch: 0:00:05 | time elapsed: 0:12:23 | 
loss: 10.8621 | epoch: 129/20000 | score: 42 | time left: 1 day, 8:02:01 | avg_q: 10.1049 | epsilon: 0.93 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:12:28 | 
